date,time,field,team_a,score_a,team_b,score_b,status,note
2026-07-17,3:30 PM,South,The Pure Breads,12,The Ellites,14,FINAL,
2026-07-17,4:30 PM,North,The Good Guys,7,The Stars and Strikes,13,FINAL,
2026-07-17,4:30 PM,South,Youre Saying Theres A Chance,19,The Danites,12,FINAL,
2026-07-17,5:30 PM,North,Youre Saying Theres A Chance,12,The Stars and Strikes,11,FINAL,
2026-07-17,5:30 PM,South,The Good Guys,13,The Danites,7,FINAL,
2026-07-17,6:30 PM,North,The Diamonds and Dirtbags,14,The Playas,8,FINAL,
2026-07-17,6:30 PM,South,The Fellowship of the Swing,14,The Pliggas,8,FINAL,
2026-07-17,7:30 PM,North,The Diamonds and Dirtbags,12,The Pliggas,6,FINAL,
2026-07-17,7:30 PM,South,The Fellowship of the Swing,12,The Playas,17,FINAL,
2026-07-24,2:30 PM,North,The Good Guys,6,The Pliggas,17,FINAL,
2026-07-24,2:30 PM,South,Youre Saying Theres A Chance,13,The Playas,1,FINAL,
2026-07-24,3:30 PM,North,The Good Guys,9,The Playas,8,FINAL,
2026-07-24,3:30 PM,South,Youre Saying Theres A Chance,5,The Pliggas,7,FINAL,
2026-07-24,4:30 PM,North,The Lefty Looseys,16,The Stars and Strikes,8,FINAL,
2026-07-24,4:30 PM,South,The Ellites,22,The Danites,13,FINAL,
2026-07-24,5:30 PM,North,The Lefty Looseys,13,The Danites,2,FINAL,
2026-07-24,5:30 PM,South,The Ellites,10,The Stars and Strikes,7,FINAL,
2026-07-24,6:30 PM,North,The Pure Breads,10,The Fellowship of the Swing,11,FINAL,
2026-07-24,6:30 PM,South,The Slamma Jammas,8,The Diamonds and Dirtbags,10,FINAL,
2026-07-24,7:30 PM,North,The Pure Breads,11,The Diamonds and Dirtbags,7,FINAL,
2026-07-24,7:30 PM,South,The Slamma Jammas,12,The Fellowship of the Swing,19,FINAL,
2026-07-31,2:30 PM,North,The Pliggas,12,The Lefty Looseys,7,FINAL,
2026-07-31,2:30 PM,South,The Playas,13,The Ellites,14,FINAL,
2026-07-31,3:30 PM,North,The Pliggas,9,The Playas,10,FINAL,
2026-07-31,3:30 PM,South,The Ellites,9,The Lefty Looseys,12,FINAL,
2026-07-31,4:30 PM,North,The Good Guys,17,The Stars and Strikes,2,FINAL,
2026-07-31,4:30 PM,South,The Danites,2,Youre Saying Theres A Chance,18,FINAL,
2026-07-31,5:30 PM,North,The Good Guys,14,Youre Saying Theres A Chance,9,FINAL,
2026-07-31,5:30 PM,South,The Danites,22,The Stars and Strikes,11,FINAL,
2026-07-31,6:30 PM,North,The Pure Breads,8,The Fellowship of the Swing,7,FINAL,
2026-07-31,6:30 PM,South,The Slamma Jammas,3,The Diamonds and Dirtbags,13,FINAL,
2026-07-31,7:30 PM,North,The Pure Breads,11,The Slamma Jammas,7,FINAL,
2026-07-31,7:30 PM,South,The Diamonds and Dirtbags,16,The Fellowship of the Swing,10,FINAL,
2026-08-07,2:30 PM,North,The Stars and Strikes,0,The Fellowship of the Swing,18,FINAL,
2026-08-07,2:30 PM,South,The Danites,9,The Diamonds and Dirtbags,19,FINAL,
2026-08-07,3:30 PM,North,The Stars and Strikes,8,The Diamonds and Dirtbags,22,FINAL,
2026-08-07,3:30 PM,South,The Danites,17,The Fellowship of the Swing,15,FINAL,
2026-08-07,4:30 PM,North,The Pure Breads,13,The Good Guys,12,FINAL,
2026-08-07,4:30 PM,South,The Slamma Jammas,6,Youre Saying Theres A Chance,25,FINAL,
2026-08-07,5:30 PM,North,The Pure Breads,6,Youre Saying Theres A Chance,21,FINAL,
2026-08-07,5:30 PM,South,The Slamma Jammas,4,The Good Guys,14,FINAL,
2026-08-07,6:30 PM,North,The Lefty Looseys,8,The Pliggas,16,FINAL,
2026-08-07,6:30 PM,South,The Ellites,20,The Playas,12,FINAL,
2026-08-07,7:30 PM,North,The Lefty Looseys,21,The Playas,6,FINAL,
2026-08-07,7:30 PM,South,The Ellites,7,The Pliggas,12,FINAL,
2026-08-14,2:30 PM,North,The Fellowship of the Swing,13,The Pure Breads,12,FINAL,
2026-08-14,2:30 PM,South,The Diamonds and Dirtbags,16,The Slamma Jammas,13,FINAL,
2026-08-14,3:30 PM,North,The Fellowship of the Swing,15,The Slamma Jammas,16,FINAL,
2026-08-14,3:30 PM,South,The Diamonds and Dirtbags,12,The Pure Breads,16,FINAL,
2026-08-14,4:30 PM,North,The Good Guys,9,The Pliggas,12,FINAL,
2026-08-14,4:30 PM,South,Youre Saying Theres A Chance,13,The Playas,9,FINAL,
2026-08-14,5:30 PM,North,The Good Guys,4,The Playas,15,FINAL,
2026-08-14,5:30 PM,South,Youre Saying Theres A Chance,7,The Pliggas,8,FINAL,
2026-08-14,6:30 PM,North,The Lefty Looseys,22,The Stars and Strikes,6,FINAL,
2026-08-14,6:30 PM,South,The Ellites,11,The Danites,16,FINAL,
2026-08-14,7:30 PM,North,The Lefty Looseys,21,The Danites,9,FINAL,
2026-08-14,7:30 PM,South,The Ellites,14,The Stars and Strikes,5,FINAL,
